xaxis0,yaxis,eq:p0*p1**x0*cos(p2*x0)_para:[0.48657252 0.99655446 0.0300163 ]mse:0.0029856523434769735,eq:p0*p1**x0*cos(p2 + p3*x0)_para:[0.48199053 0.99667432 0.0625903  0.02973043]mse:0.00298014090798297
0.0,0.2631226661826164,0.4865725201610038,0.48104672763468326
3.381000000000313,0.3142968957064604,0.4784530046733007,0.4702666750550789
6.731000000000677,0.3481621946560631,0.4657288356939175,0.45513333734945777
10.076000000000022,0.3742510175505718,0.4486117060837571,0.43584885434322285
13.421000000000276,0.390807385925933,0.4273593605643654,0.41267662079608436
16.765000000000327,0.3995872782462004,0.4022886347699988,0.38594010793514333
20.10800000000017,0.4096214408979345,0.3737428480348591,0.3559854362524324
32.284999999999854,0.4133842518923348,0.2463865112923503,0.22563586466867688
35.639000000000124,0.407865462433881,0.2066698510988779,0.1856569892270058
38.996000000000095,0.399336424179907,0.1657289846564889,0.14467771432878163
42.358000000000175,0.3850377424011859,0.1239795827004596,0.10310095790628211
45.70300000000043,0.3617083142359041,0.0821371650437375,0.06162496780603593
49.05299999999989,0.3248327664907812,0.0403591271318579,0.020392186378930248
52.38299999999981,0.2616175417848563,-0.0006285342234171,-0.019893818639387852
55.73100000000068,0.0135228702207302,-0.0408917174299145,-0.059309112803798684
59.07600000000002,-0.2087338325151803,-0.079787583468705,-0.09723377472148731
62.42100000000028,-0.2762135763480923,-0.1169906589616724,-0.13336046112659528
65.76500000000033,-0.3166010810213221,-0.1521540704497658,-0.1673614991773086
69.10800000000017,-0.3431916120484175,-0.1849715107792407,-0.19894925748213874
72.45100000000002,-0.3605005426226589,-0.2151763910542374,-0.2278749667731173
87.27300000000014,-0.3732941000036199,-0.3120789329706509,-0.3189427292779377
90.616,-0.3763043487991401,-0.3247228352688445,-0.3303204216308462
93.96200000000044,-0.3675244564788728,-0.3338126898915091,-0.33818830680621936
97.3100000000004,-0.3582428560260187,-0.3393274751607106,-0.3425358904666067
100.67799999999988,-0.3527240665675649,-0.3412879042677724,-0.3433868449601415
104.04300000000056,-0.3381745307225505,-0.33971586722568,-0.3407783242880524
107.40599999999996,-0.3276386599382296,-0.3347157544446861,-0.3348199293046713
110.7480000000005,-0.3166010810213221,-0.3264790575024874,-0.3257119036982821
114.09000000000016,-0.2955293394526805,-0.3151423058849443,-0.313587224457845
117.4340000000002,-0.280979803607666,-0.3008810073155725,-0.29862232266993544
120.7579999999998,-0.2621657486356645,-0.2840205234115128,-0.281146541155843
124.10600000000068,-0.2378329042052093,-0.2645650137804813,-0.2611548888343641
137.42399999999998,-0.1066362275337857,-0.1678178423087172,-0.16304713790761055
140.76800000000003,-0.0654961606616758,-0.1400909406988862,-0.13515043570622162
144.134,-0.0233526775243925,-0.1113947916792688,-0.1063418378533966
147.48199999999997,0.0160314108836638,-0.0823765694267702,-0.07726361009618607
150.8209999999999,0.0519035423636132,-0.0532671649487357,-0.04813932955866699
154.17500000000018,0.0822568843851089,-0.0241560765107419,-0.019051857947768678
157.51900000000023,0.1111051020088445,0.0044491348374983,0.009497941890884874
160.8670000000002,0.1336819679752463,0.0323895964897564,0.037357527386694726
164.21100000000024,0.1527468770135411,0.0593328226963881,0.06420082188535457
167.5560000000005,0.1670455587922622,0.0850704778642997,0.08982523855569535
170.90700000000015,0.18184594870357,0.1094045366351582,0.11403800067103989
174.26100000000042,0.194639506084531,0.1320939625879936,0.1366031173560916
177.60400000000027,0.198151463012638,0.1528592203928485,0.15724595835982388
193.60199999999983,0.2089381878632522,0.2221593827001928,0.226078280152815
196.9470000000001,0.2034193984047984,0.2297395252485489,0.23359698841691326
200.30299999999988,0.2011617118081582,0.2348414865114503,0.23865101351684678
203.6480000000001,0.1968971926811712,0.2374373875534507,0.24121198658375356
207.03700000000023,0.189622424758664,0.2375643077936894,0.24131517790002283
210.3780000000006,0.1820968027698634,0.2352784554959827,0.23901547629958722
213.72400000000016,0.1720626401181293,0.2306681141116704,0.23439835153280256
217.0690000000004,0.1612759152675151,0.2238368673767102,0.22756460506413556
220.40999999999983,0.147729795687674,0.2149152016776882,0.2186415825944256
223.7510000000002,0.1356888005055931,0.2040338636580707,0.2077566429949069
227.10600000000068,0.112861080472898,0.1912903217983377,0.19500364134496911
230.44800000000032,0.0927927551694298,0.176955885404069,0.180650296855237
243.20400000000063,0.0007293128397692,0.110556354173476,0.11402752043197703
246.5560000000005,-0.0281189047839663,0.0909834273973312,0.09434064115132122
249.89500000000044,-0.0569671224077018,0.071014853676539,0.07423014956226684
253.2610000000004,-0.0838085075010906,0.0506233262776678,0.05366462529704836
256.6190000000006,-0.1091447681967193,0.0302314982326321,0.03306650777971555
259.9949999999999,-0.1342301748260546,0.0098919111754993,0.012485344874384957
263.32800000000043,-0.1553019163946962,-0.0098295410063886,-0.007508895747629365
266.6670000000004,-0.1728617010352309,-0.0290378816759012,-0.02702476346530952
270.0150000000003,-0.190672339742059,-0.0475653057478643,-0.045894446804751396
273.35400000000027,-0.2019607727252599,-0.0651427003219329,-0.06384587431772291
276.6999999999998,-0.212747497575874,-0.0816981446068347,-0.08080715969727544
280.0480000000007,-0.2237850764927815,-0.0970596533374459,-0.09660350618171946
283.3879999999999,-0.2288021578186486,-0.1110574104757006,-0.1110608223438142
298.4400000000005,-0.2380837582715026,-0.1551222827434709,-0.15741199022946173
301.808,-0.2350735094759824,-0.1603432130555332,-0.16316443285827706
