xaxis0,yaxis,eq:p0*p1**x0*cos(p2*x0)_para:[-0.28681521  0.99612914  0.02463243]mse:0.00041687681093832853,eq:p0*p1**x0*cos(p2 + p3*x0)_para:[-0.2616338   0.99726768 -0.75430248  0.02734613]mse:9.628068207081617e-05
0.0,-0.2936861221023005,-0.2868152130071095,-0.19066546295199552
3.356999999999971,-0.2870264666509557,-0.2821378111769335,-0.20440068509254042
6.710000000000036,-0.2825866963500592,-0.2756390674998892,-0.21615037352756333
10.052999999999884,-0.2793801955771895,-0.267433257189587,-0.22584310853094244
13.411999999999807,-0.2751870791818983,-0.2575532754249655,-0.2335039808773671
16.77500000000009,-0.2707473088810018,-0.2461304086423784,-0.23906034737619072
20.135999999999967,-0.2675408081081321,-0.2333021894445283,-0.24249199194446971
31.096000000000004,-0.2426287636419904,-0.183225582069187,-0.23918688256454707
34.547000000000025,-0.2320226457009598,-0.1653721185895283,-0.2337335741175258
37.97699999999986,-0.2191966426094809,-0.1468976307883723,-0.22635211879724315
41.35599999999977,-0.2083438707628449,-0.1281350977799516,-0.2172671395448275
44.73000000000002,-0.198231060633025,-0.1089892063513305,-0.2065106328731382
48.10699999999997,-0.1814585950518603,-0.0895595296114076,-0.19418122336565682
51.46000000000004,-0.1696192075828029,-0.0701448136750903,-0.18052403340277873
54.82400000000007,-0.1572865123025348,-0.050681306989397,-0.16554637464291241
58.18399999999974,-0.1437205474942398,-0.0313901267588817,-0.14946063011427196
61.53699999999981,-0.1271947358186805,-0.0124170823282155,-0.13244245862918316
64.89499999999998,-0.1131354631991748,0.006181835007887,-0.11459300102378006
68.2539999999999,-0.0971029593348262,0.0242650937284648,-0.09609658036918424
71.61899999999969,-0.0805771476592669,0.041745881109935,-0.0770919536209814
86.54500000000007,-0.006580975977658,0.1090888670804046,0.008580810372770278
89.96799999999985,0.0111781052259281,0.1216955850110734,0.027565739147817833
93.36099999999988,0.0284438786183035,0.133003014963691,0.045798702818845495
