xaxis0,yaxis,eq:p0*p1**x0*cos(p2*x0)_para:[-0.18273428  0.99754948  0.01875097]mse:0.0001440585584903722,eq:p0*p1**x0*cos(p2 + p3*x0)_para:[-0.16982957  0.99792434 -0.38966226  0.01957628]mse:8.478034902136378e-05
0.0,-0.2788360634812429,-0.1827342758169125,-0.15709870976188314
3.3700000000008004,-0.2487281604088304,-0.180867875423882,-0.15988651342612759
6.7370000000009895,-0.236286878147503,-0.1783063753487427,-0.16193549504354668
10.110000000000582,-0.2193667342720976,-0.1750637832624786,-0.16325144265350552
13.46600000000035,-0.2089160571725825,-0.1711894713137826,-0.1638334385919427
16.837999999999738,-0.1994606826539737,-0.1666719342201627,-0.16369513518251294
20.20600000000013,-0.1882635286187789,-0.1615630147845274,-0.16284414471655528
23.57099999999992,-0.181047584907209,-0.1558933400548594,-0.16129603285224448
37.98000000000138,-0.1482025997373045,-0.1260137828516034,-0.14721953920156414
41.35200000000077,-0.1414843073161877,-0.117908606537344,-0.1423111156779383
44.71700000000055,-0.1322777584428054,-0.109478962342577,-0.13686038394316086
48.08600000000115,-0.1205829531171575,-0.1007372901008331,-0.1308817628065982
51.46299999999974,-0.118094696664892,-0.091711889123963,-0.12439885812926597
54.82500000000073,-0.1098834503724159,-0.0825055027878228,-0.11749231039082313
58.19000000000051,-0.1049069374678849,-0.0731106543895498,-0.1101639707517696
61.53600000000006,-0.0939586090779168,-0.0636302898656247,-0.10250200658589674
64.90300000000025,-0.0914703526256513,-0.0539913714965778,-0.09445316427479578
68.28200000000106,-0.0795267216547769,-0.0442587573959037,-0.08607397295358685
71.65099999999984,-0.0733060805241132,-0.0345358728580184,-0.07745946856578313
75.0560000000005,-0.0621089264889184,-0.0247299958493209,-0.06853108916412982
88.8109999999997,-0.034738105513998,0.0138660639846881,-0.031074227135819962
92.22700000000076,-0.0260292079310688,0.0230085880646291,-0.021645719741678747
95.59200000000055,-0.0188132642194989,0.0317731277214244,-0.012392715247483383
98.95000000000071,-0.0128414487340617,0.0402492047259326,-0.0032332062683269867
102.32300000000032,-0.0053766793772652,0.0484616451083889,0.005853499180018009
105.6869999999999,0.0018392643343046,0.0563232222267409,0.014764500882032214
109.06500000000052,0.0070646028840622,0.0638605643414839,0.02352337872459485
