xaxis0,yaxis,eq:p0*p1**x0*cos(p2*x0)_para:[0.36467924 0.99770232 0.0274582 ]mse:0.0011479485617428035,eq:p0*p1**x0*cos(p2 + p3*x0)_para:[ 0.39009929  0.99744379 -0.45698282  0.0285769 ]mse:0.0008192884250464906
1047.4480000000003,-0.0463348180901908,-0.0289657668383628,-0.009645451595098796
1050.812,-0.0470829404688363,-0.0272170597189486,-0.007147145667733349
1054.1800000000003,-0.0433423285756088,-0.0252608885804459,-0.0046225309559912225
1057.5479999999998,-0.0405992131872419,-0.0231190687008359,-0.0020983081709304604
1060.9179999999997,-0.034863608284293,-0.0208113314292186,0.00040365217164414524
1064.281,-0.034863608284293,-0.0183663816791127,0.002854046448044913
1075.397,-0.0248886432356861,-0.0095693532501385,0.010356976574428623
1078.777,-0.0218961537211041,-0.0067689595368558,0.01238244855632475
1082.1890000000003,-0.0184049159540917,-0.0039269106353365,0.014274807661610657
1085.5519999999997,-0.0149136781870793,-0.0011352002807415,0.015975393698253057
1088.9219999999996,-0.0111730662938518,0.0016290061814127,0.017502590170011722
1092.2690000000002,-0.0064349578957635,0.0043185202462818,0.018833088245585917
1095.6310000000003,-0.0074324544006242,0.0069420137597346,0.019973563997850677
1099.0240000000003,0.0007968917644763,0.0094889158865659,0.02091814199588141
1102.3900000000003,0.0037893812790584,0.0118953657753131,0.0216451071942874
1105.7650000000003,0.0035400071528432,0.0141692344676681,0.022160750571333335
1109.139,0.0080287414247163,0.0162859612292402,0.02246165651345615
1112.504,0.012018727444159,0.0182255650005375,0.02254893935273347
1115.8810000000003,0.0107718568130832,0.0199859139120308,0.022425704053578802
1129.5370000000005,0.0187518288519686,0.024981174629948,0.019899462574170784
1132.9390000000003,0.0214949442403355,0.0256582497913809,0.018811196405267367
1136.3019999999997,0.0217443183665507,0.026097515642005,0.017579332564955828
1139.661,0.0199986994830445,0.0263077104228197,0.01620806618388762
1143.0330000000004,0.0199986994830445,0.026290709704311,0.014705021397662063
1146.397,0.0197493253568293,0.0260497546749199,0.013095293055455778
1149.7749999999996,0.0190012029781838,0.0255882055108753,0.01138493561779658
1153.1490000000003,0.0187518288519686,0.0249148798281382,0.009600113287920894
1156.5150000000003,0.0175049582208928,0.0240407092717958,0.007761156893258544
1159.8739999999998,0.0122681015703742,0.0229773158179394,0.005885842270874953
1163.2330000000002,0.01351497220145,0.0217350473823141,0.003988339041655864
1166.6009999999997,0.012018727444159,0.0203232176660288,0.0020813994511602483
1169.9660000000003,0.0100237344344376,0.018760992790341,0.00018947642822466658
1182.9309999999996,0.0007968917644763,0.0116213658035086,-0.006669098892991607
1186.3069999999998,-0.0051880872646877,0.0095536223222631,-0.008268912438213009
1189.67,-0.0049387131384725,0.0074440001862687,-0.009758919047243709
1193.036,-0.0104249439152062,0.0053014656179098,-0.011134657035320537
1196.406,-0.0121705627987124,0.0031440730611045,-0.012385419042700447
1199.777,-0.0149136781870793,0.0009923536948858,-0.013500391596527505
1203.156,-0.0171580453230158,-0.0011397466825209,-0.014473308492249487
1206.5209999999995,-0.0194024124589524,-0.0032206170142585,-0.015291700198705417
1209.889,-0.0236417726046103,-0.0052438368226589,-0.015955430300410807
1213.2519999999995,-0.024639269109471,-0.0071883396753496,-0.01645958824916353
1216.6149999999998,-0.029128003381344,-0.0090417822608496,-0.016803330420075993
1219.9799999999996,-0.0308736222648502,-0.0107907865997747,-0.016986285371439633
1223.37,-0.0326192411483564,-0.0124325689649561,-0.017008839021369765
1236.634,-0.0386042201775205,-0.0174821955767517,-0.015605237916846263
1240.0259999999998,-0.0405992131872419,-0.018379032795073,-0.014893786885613516
1243.389,-0.0405992131872419,-0.0190973502084582,-0.014062531451868256
1246.768,-0.0420954579445329,-0.0196442038585761,-0.013110997624255341
1250.1400000000003,-0.0413473355658874,-0.0200131878695677,-0.012055999077243367
1253.4970000000003,-0.0430929544493936,-0.0202047133813791,-0.010912566012811535
1256.8590000000004,-0.0403498390610267,-0.020221773744582,-0.00968644440460055
1260.2089999999998,-0.0383548460513053,-0.0200673483424911,-0.008396682646208615
1263.5779999999995,-0.0401004649348115,-0.0197434383050604,-0.007044241611172134
1266.942,-0.0381054719250902,-0.0192566448778016,-0.005651816898459527
1270.3059999999996,-0.0381054719250902,-0.0186132657679841,-0.004231005717522056
1273.665,-0.0333673635270019,-0.0178224704496655,-0.0027975430097991667
1277.0370000000005,-0.0328686152745716,-0.0168885506311663,-0.0013572378585578826
1292.1539999999995,-0.0208986572162434,-0.0112673531678706,0.004769815379788445
1295.5500000000002,-0.0206492830900282,-0.009756326043319,0.0059996275548684416
1298.9229999999998,-0.0179061677016614,-0.0081948428669804,0.007144303039322509
1302.2690000000002,-0.0186542900803069,-0.0066002271929376,0.008194988008999083
1305.6310000000003,-0.0126693110511428,-0.0049665088088076,0.009157350529772255
1309.0010000000002,-0.0119211886724973,-0.0033116645636505,0.010020806591734086
1315.7429999999997,-0.0064349578957635,-6.655429357027e-06,0.01142017952144477
1319.1090000000004,-0.0029437201287511,0.001612497032568,0.011945935431968561
1322.4920000000002,-0.0011981012452449,0.0032008767482404,0.012354080089855874
1325.8869999999995,0.0025425106479825,0.0047424898689294,0.012640715628762657
1329.2479999999996,0.0025425106479825,0.0062046363585614,0.012802587548915407
1341.9009999999998,0.0095249861820073,0.0109499863713004,0.012347190320607009
1345.303,0.0100237344344376,0.011977690214795,0.011952278121765395
1348.661,0.0107718568130832,0.012874138810599,0.011458514378377856
1352.0330000000004,0.0122681015703742,0.0136505094445661,0.010865137177961934
1355.397,0.0112706050655135,0.0142966979905761,0.010182891998142912
1358.7929999999997,0.0132655980752349,0.0148154114046928,0.009410678129489427
1362.169,0.0130162239490197,0.0151956115025419,0.008568465297104533
1365.5190000000002,0.012018727444159,0.0154382109010055,0.007668257642357586
1368.8850000000002,0.0112706050655135,0.0155468554392416,0.006708494422859962
1372.25,0.0102731085606528,0.0155212458919794,0.005703447092542201
1375.6139999999996,0.0125174756965893,0.0153637806389964,0.004663210626271791
1378.9799999999996,0.0100237344344376,0.0150776308657136,0.0035970594705289284
1382.3509999999997,0.0080287414247163,0.0146665692537364,0.0025142735685550186
1396.6849999999995,0.0005475176382612,0.0116710975725307,-0.0020219068342433007
1400.0550000000003,0.0005475176382612,0.0107156457712576,-0.0030193339524543367
